"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL015W",140.119857135232,-1.86731640475782,0.434015366757542,-4.30242002422226,1.68942659789558e-05,0.00337272312903932
"YNR034W-A",231.791138074824,-1.84150571306832,0.426867305415797,-4.31400036897784,1.60326677929219e-05,0.00337272312903932
"YDL014W",329.680454244529,2.08651734649515,0.490188298612398,4.25656294203996,2.075936123388e-05,0.0039517520044814
"YOR173W",305.368649747392,-1.68625420669075,0.402937877481894,-4.18489871746179,2.85293276038331e-05,0.00522196423333237
"YER091C",585.436570621967,-2.1140385418393,0.508858969307004,-4.15446846641679,3.26044575642412e-05,0.00574683753882311
"YML128C",530.195400029063,-1.67739096648539,0.409005626231069,-4.10114399144657,4.11112629315107e-05,0.00698744643896642
"YOL077C",56.7145113974186,2.15898725250825,0.527568001809192,4.09233927210222,4.27043230601957e-05,0.00700792667046453
"YPR160W",1394.96081028849,-1.5972277074445,0.391506031090732,-4.07970141097097,4.50935847903718e-05,0.00715334566724598
"YBR208C",300.024900421484,-2.40250861428964,0.594560924566287,-4.04081148797694,5.32665639045636e-05,0.0072427307891948
"YER175C",73.2614952300502,-2.83317848476901,0.69939496960376,-4.05089914554881,5.10211965909309e-05,0.0072427307891948
"YIL069C",396.461145433322,1.81753568068255,0.449534551218048,4.04315013330522,5.27378274533027e-05,0.0072427307891948
"YNL274C",260.744139170041,-1.80084188792263,0.443241889934049,-4.06288739584288,4.84694143941825e-05,0.0072427307891948
"YPL171C",32.637722240537,-2.63075458164347,0.649071517759829,-4.05310433390009,5.05424477088514e-05,0.0072427307891948
"YKR092C",54.0593808669815,2.08002527692493,0.515853207940451,4.03220382253598,5.52562308289333e-05,0.00730456673652482
"YLR142W",132.126489499638,-1.81289536172027,0.451091547282442,-4.01890785283362,5.84685301530371e-05,0.00752031716211631
"YMR194W",200.869590708494,1.85426173598252,0.462279695830928,4.01112519694287,6.04300525252467e-05,0.00756806894651708
"YBL042C",64.3702436962045,1.93293468900451,0.483544573773345,3.99742814591183,6.40344195458188e-05,0.00781384109278338
"YDR101C",46.3250715352042,2.18630702570428,0.551133077053847,3.96693124896707,7.2803982540362e-05,0.00855560842252523
