"","logFC","logCPM","PValue","FDR"
"YML131W",-1.56756909474838,6.95592402540424,1.99145081681804e-08,3.71049961119276e-06
"YIL127C",2.29777586353478,5.26842523242903,3.42182201763685e-08,6.15573981586601e-06
"YNL132W",1.81379116131093,6.50013202446332,3.56911284848702e-08,6.20668724351892e-06
"YLR009W",1.95481646049041,5.94323635707195,4.45649262478708e-08,7.49984581403683e-06
"YDR101C",2.1822186764689,6.00756739227584,4.69298929388864e-08,7.65103910819282e-06
"YGL156W",-1.76631659199278,7.35608141996122,5.01178771754434e-08,7.89042551937532e-06
"YDL148C",1.82671339910804,6.31106832303218,5.37420351656923e-08,7.89042551937532e-06
"YMR290C",1.72482440281717,7.13291937569691,5.39508593201904e-08,7.89042551937532e-06
"YOR091W",1.65099009218941,6.41443642037259,5.44480196851661e-08,7.89042551937532e-06
"YDR165W",1.64884382866043,6.14585822941656,6.33945789490739e-08,8.47262021121481e-06
"YLR178C",-2.21442205182768,8.44304483163845,6.44087343544408e-08,8.47262021121481e-06
"YGL029W",3.63554058852604,4.01356402449373,6.46112587482722e-08,8.47262021121481e-06
"YNL308C",1.54165613226726,7.30396574787057,6.49616270746775e-08,8.47262021121481e-06
"YDR060W",1.94603245669045,6.85825499791635,6.72268803967421e-08,8.55421061048301e-06
"YOR120W",-1.99665523912299,8.68634184459434,7.20679617803484e-08,8.95187039543042e-06
"YPL081W",2.80448631701885,7.46027024594232,8.0866144736495e-08,9.81113202535569e-06
"YGL099W",1.85121982672193,6.16372523314739,8.60013359986432e-08,1.01970220432937e-05
"YLR129W",1.55898315094112,6.13588407927519,9.24700077973788e-08,1.07203562373094e-05
"YGL125W",-1.48256540787892,7.16930579059226,1.00766436318426e-07,1.12614864228982e-05
"YDR398W",1.9693101006114,5.75126647142557,1.01454832638723e-07,1.12614864228982e-05
"YGR090W",1.75201366405325,6.74999752696367,1.0487518477388e-07,1.13986216451111e-05
"YNL160W",-2.13526334039103,8.47692782214516,1.08679602342361e-07,1.15710507228591e-05
"YCR047C",2.02733215845021,5.66402522223107,1.13175612795865e-07,1.18087434391205e-05
"YBL039C",1.94477551540581,6.75655665587171,1.39032363013311e-07,1.42221928988322e-05
"YML056C",1.71872206113055,6.91233356298076,1.44774749185711e-07,1.45248051250357e-05
"YDL204W",-1.80789362585395,8.21709129307202,1.64614996795195e-07,1.59735266681509e-05
"YMR206W",-2.10264194352422,5.93436073509903,1.68384748510535e-07,1.59735266681509e-05
"YNL175C",1.75879869828275,6.56797894188718,1.68400223643531e-07,1.59735266681509e-05
"YER103W",-2.20850866120156,9.33833994339293,1.79006862065597e-07,1.66210691560992e-05
"YDL169C",-2.01013902760749,5.26639354515409,1.81598800440417e-07,1.66210691560992e-05
"YGR256W",-2.09973864851064,6.2803502458443,2.09427925540982e-07,1.88376808197811e-05
"YKL143W",1.63889310618812,6.55642688971811,2.35337941192761e-07,2.08094582915701e-05
"YDL060W",1.55919306340949,6.13247404965341,2.57786304788588e-07,2.24145192013677e-05
"YHR088W",1.75784987172773,5.79532639843684,3.07612331259265e-07,2.63084185603211e-05
"YDR465C",1.54252568238532,6.10001922884335,3.13239211679356e-07,2.63263851753944e-05
"YLR264C-A",1.60106713137268,7.06842915140734,3.17914944613733e-07,2.63263851753944e-05
"YJR041C",1.81888545533776,5.51967496969804,3.24353513442656e-07,2.6439879369224e-05
"YHR072W-A",1.51688897661853,6.13172097114579,3.30930357816436e-07,2.65609796419745e-05
"YKR081C",1.77775496699822,5.57422932042719,3.60902410513732e-07,2.85276950856082e-05
"YGL121C",-2.83529312097079,4.83938699792755,3.78744475307886e-07,2.94911929504663e-05
"YML093W",1.47809251433654,6.72545547597912,3.97198543884213e-07,3.04733059329991e-05
"YER002W",1.50598764826785,6.12429938068316,4.17619183469165e-07,3.11967525956728e-05
"YDR453C",-1.79075669225888,6.19697155106065,4.18587824745466e-07,3.11967525956728e-05
"YOR272W",1.8826621264497,5.80639912542139,4.33172772310671e-07,3.18290472273911e-05
"YJL088W",-1.56178533385533,6.52297372895699,4.77922478250418e-07,3.46294662365616e-05
